user_id,total play,Artist,genre,track
BF6EA5AF,92.85138808302445,Marina Rei,pop,Musica
FB1E568E,282.981,Stive Morgan,ambient,Love Planet
FB1E568E,282.981,Stive Morgan,ambient,Love Planet
EF15C7BA,8.966000000000001,,dance,Loving Every Minute
82F52E69,193.77632653061227,Rixton,pop,Me And My Broken Heart
4166D680,3.0069999999999997,Henry Hall & His Gleneagles Hotel Band,jazz,Home
F4F5677,0.1,,classicmetal,
386FE1ED,211.88,,electronic,Riviera
A5E0D927,3.161,Andrew Paul Woodworth,pop,The Name of This Next Song Is Called
E9E8A0CA,274.39,Pillar Point,indie,Dove
D3DD8D00,8.836,Steve Campbell,jazz,Morning Dew
596A4517,0.0,David Civera,pop,Bye Bye
2E50EDF9,245.04,Lumipa Beats,hiphop,Cludo
79D2876C,2.0,Henning Wehland,pop,Räuber und Gendarm
5A3095E,0.0,,,
96DA13A1,0.0,Пётр Каледин,spoken,Пойти и не вернуться. Глава 1
4023830D,46.885,ChinKong,dance,Live Life
AEAEF451,15.0,Albatraoz,pop,General Zod
285648EF,0.1,Pugs Atomz,dance,No Love
34811AC9,7.0,Zak Moore,dance,Feel Good
892E9835,219.19086299999998,Kendra Springer,new,Sonora
46EB28CD,254.862,Nathalie Cardone,latin,Hasta Siempre
919EFA26,272.039167,Snowday,dance,Patterns
A76F54E1,72.38968,Swords,indie,I Didn't Understand
94E73621,8.109446121281469,Montezuma's Revenge,extrememetal,My God Is a Bad Cop
13C442BF,217.0,,dance,Lightspeed
C4AF055B,0.0,,,
A6D6DBE7,208.822833,Музыка для изучения,instrumental,Инструментальная музыка
9C97ECE2,214.256327,A-Life,dance,Don't Hurt Me
DD08E7D1,27.164889000000002,Peter Holzmann,classical,The Seasons Op. 37A  (August  The Harvest): VIII. Allegro vivace
22642B7C,28.873,Heathers,alternative,Forget Me Knots
90004D45,3.253,IRISHA,dance,You Lose
8DA2ADAC,161.0,Tigerlily,dance,KICK BOOM
65608E7C,0.1,Orinoco Haven,pop,Don't Dream It's Over
A7BA3C55,0.0,,latin,La Tortura
D8B3971,134.112625,,rock,It's So Easy!
C087E463,9.2,Yngnfrsh,hiphop,Future Baby Mama
CADC0B1A,49.0,Sen-dla & Lotus,german,Nochmal Von Vorn
A6152E0B,254.64,Merwan Rim,french,Sofia
29BBA33D,3.6634528145833367,Watchout! Theres Ghosts,rock,Never You
2FBD8201,0.1,,,
2F4F0630,0.1,The Jeremy Spencer Band,pop,Cool Breeze
FD36A727,1.4645890096367715,The Rubix Cube's,soundtrack,"Girls Just Want to Have Fun (From ""Bioshock Infinite"")"
4D8D4370,248.0,Luca Turilli's Rhapsody,metal,Il Cigno Nero
38C55DA7,63.291889596199496,Мария  Матвеева,electronic,Принцесса Укок
4AD7F9E2,0.1,Lou Reed,rock,Ride Into the Sun
F1014BD5,202.13551,Emanuel Borok Cullan Bryant,classical,Love's Sorrow
B39466EE,0.1,,,
EE908C06,84.51917633020831,Echoes The Fall,pop,Eye Of The Tiger
C484328A,6.0,Psycho 44,rock,All My Demons Have Distortion
1D1186AA,378.644898,Чёрный Кузнец,rock,Дубль один
58D5A9C7,0.872,,dance,Born to Party
CC23B61,79.389,Ming,dubstep,Claim Earth
D9111D79,108.199175,Zcr,electronic,Разбегается на куски
C4C63D22,163.631,Limousine,alternative,A Drive
D52D00EA,8.443,Дуэт «Алмас»,pop,Люби меня люби
61AAFD2A,30.012834,Ricardo Piedra,house,Shooting Stars
1602CC14,235.07591800000003,Лінія Маннергейма,electronic,Навчи
F2EF24F8,177.29,Hellogoodbye,rock,Finding Something To Do
A40236D7,43.0,The Contemporary Noise Sextet,pop,Bitches Tune
6C936B97,270.0,The Rock Kid Heroes,rock,Bawitdaba (Made Famous by Kid Rock)
220A6FF8,136.643,Meditation Spa Society,new,From the End of Light
616A5F7D,28.42437307986112,Red Nose Rudolph,miscellaneous,Rudolph the Red Nose Reindeer
BBFBFE04,1.6869999999999998,Sweet Dreams Project (Dj Sergey Zevs and Kristina Dolce),dance,Me Is Not Pain
14313BCE,3.773,Matt Sadler,spoken,The Biker Bar
8808CC9B,28.0,Loon,rap,Do What You Like (Featuring Trina)
89F8A4B6,7.67,Indecent Noise,,Neurofunk
97735D6D,30.304000000000002,Domo Wilson,rock,I Wanna Be Me
52626181,0.0,Blex,world,Promesa de Amor
8431D955,225.0,Cypress Spring,country,Bootleg Style
EA665694,0.0,Кооперативыништяк,punk,Солнце похожее на тебя
8AA53E75,341.838367,Lionrock,dance,Packet Of Peace
1E20AB1B,5.5464569999999975,Shirley Holmes,alternative,1 + 1 + 1
61B6E597,94.509,KHARO,rap,Wrap Em
C9AC9D32,5.232,Koufequin,latin,Vamos a la Música
7B171AAB,0.0,PUNXXX,rusrap,Не по пути
DF8619AE,19.0,NeuRuTics,alternative,Северный олень
9AE82E5C,1.014,Ritmo Natural,jazz,Cumbia Cha Cha
20B8C4FB,211.565714,Kake Randelin,pop,Rakkautta ja rahaa
C22BEA45,191.053,Serious Black,extrememetal,I Seek No Other Life
BF32936D,3.9384300000000003,Ana Cañas,rnb,Eu Dou
FA279DD2,1.5237530000000001,Jennifer Warnes,pop,Up Where We Belong
714A9114,2.3466949999999938,Delroy Edwards,electronic,Killer Charlie
A76BB012,25.283,Otherland,dance,Wiggle - Jason Derulo
5B68BDDC,216.82,Maurice Moore,rnb,Take Time
F6939D17,187.0,Aaliyah Palmen,pop,Cold (Reprise Maroon 5 Future)
AC0AF747,0.1,Dadafon,pop,Slow Day
81817E47,5.0,Blinding Lights,soundtrack,"Zombie (From ""Pitch Perfect 3"")"
C527ADCF,8.566,Stephen Provost,electronic,Station One
CCAF9FD9,3.4726160000000004,,classical,Kaddish
BB5B3AA4,214.413061,Saltimbankya,metal,Gipsy Queen
BEA65D35,195.369796,Susanna Hoffs,rock,Eternal Flame
5D9AAD37,1.0197450000000001,Bomba Titinka,,Mambo Italiano
926DE999,0.0,Sds,electronic,Trinity
A2CC841A,3.204336721228475,Walter Kemp3oh!,jazz,Intuit
4B1EEB5,224.002,Trst.,electronic,Throw Yo Body
7F38A6F8,50.04,D. Rogers,pop,When It’s Done It’s Done
510D9BEE,213.0047541533333,Tapani Kansa,pop,Anna Mun Jäädä Sun Luo
A95CC18E,31.695999999999998,Sofi Lapina,pop,Gravity
9224DF40,134.974,Nino Nardini,world,La joie d'aimer
1AD2023F,102.98,Витя CLassic x Kaip,hiphop,Целлофанка
11B83119,48.0,Ameritz - Tribtues,pop,All I Want
2B3F806F,27.000272,Francis Lay,world,Un homme et une femme
14B73B59,31.32330066354167,Christian,pop,Se te ne vai
60F5B674,0.0,Openfieldz,rock,Spanish Lullaby
124CACCF,1.8969999999999998,Acoustic Café,new,Je Te Veux
A9537061,146.9126530612245,Circle of Song- Kate Marks and Friends,world,Shiva Dance
D51B3C0,277.0,Ils,beats,Feed The Addiction
BD8A7461,382.484875,Kevin Over,dance,Djengis
E972F48E,5.281000000000001,We Are Action,punk,At Least We're Still Alive
1E393052,11.077,TaRuta,ukrrock,ШевченкА
9C533CB1,248.450612,Gregg Kofi Brown,pop,Lullaby to an Anxious Child
748BE5A3,0.1,Ayla,pop,Sessiz Gemi
DE999382,2.0,Pranayama,inspiritual,Musica yoga
E3B367E9,2.0,110% Hits,pop,110% Intro
2D2FD178,0.0,The Kovenant,metal,Stillborn universe
DC81528C,144.83100000000002,Summer Love,rock,Бейба
767942DD,73.0,ZOLOTO,ruspop,В текиле
2A40C1C9,0.1,O.S.T.R.,hiphop,Prędkość
9F494619,7.442,Nadine Bryant,country,Everybody's Looking For Something
D0DF5F8A,160.44,Skaльпель,alternative,Телефон 02
F78DECE1,450.03755,Ivan Spell,electronic,Sunday 7AM
66177A34,0.1,OB,pop,Butterflies
7D4CDE9F,304.0,Martin Stock,ambient,Song for Marilyn
8726FFF5,238.628548,Катя Разумовская,ruspop,Кареглазый
1451927,162.075,Sin Ensayo,pop,Toda la Noche
C31591B3,2.135351,Christy Baron,jazz,The Shadow of Your Smile
5F9A0A4C,217.70449,Любовные истории,ruspop,Возвращайся
B0174CAE,0.1,,caucasian,Дзорис
F5C7ACF3,0.0,,,
EE53730E,49.0,Агенты Кремля,rusrock,Доллары-рубли
6556EF3E,0.0,Gotham City,rock,Swords and Chains
DE5D0BB,8.576,Young A.C.,hiphop,Jewelz On (feat. Gorilla Zoe)
164E0D14,48.496,ILoveMakonnen,rap,Love
8F6CA3C8,16.867,Солоинк Эпик,rock,Мой бог
9DC9AC4A,0.717074,General Ghost,rock,Nightwalker
D8A43003,4.676826925999993,Vivaz Danilo Secli & Santoro feat. Cesco & Puccia,dance,Zimba
FB7E4FD8,164.93099999999998,XUITCASECITY,pop,Famous
DFFAC45C,279.939,Joe Walsh,rock,Life's Been Good
8C1DC60F,0.0,Luisa-Sophie,pop,If You Should Ever Go (Castles Turn to Sand)
3444D54D,93.90100000000001,,classical,Act 2: La belle un mot
A88D6FC2,47.625434000000006,Axis,dance,Over You
A2D55C39,6.9844678680504,Psychic Ills,rock,East
FB911233,39.2,Violinbwoy,dub,Jah Horns Dub
D5EDEFF9,2.436113,Razika,pop,Første gangen om igjen
6E2E0DE8,0.0,Superheaven,alternative,Downswing
B9E511C6,1.136235,The Soup Dragons,rock,I'm Free
FF3683D9,93.0,cheezystack,hiphop,Lil Nigga
24C2E9D6,213.7860833,Night Dreamers,pop,D.i.s.c.o.
2DA7804D,198.112,Le French,dance,Einfach
3EC23561,15.0,Jeff Golub,jazz,Slinky
2A590CEA,0.1,Shane Dawson,soundtrack,I Am Everything
AAB4A313,0.0,Gym Class Heroes,hiphop,Live A Little
